X,Y,OBJECTID,NAME,BUILDING_SQ_FT,HOLDINGS,CIRCULATION,RANKING,RADIUS_KM,LONGITUDE,LATITUDE
-79.976660631923636,43.225309172422755,1,Ancaster Library,7500,58884,247037,-3,2,-79.97666063140129,43.22530917338574
-79.841218980779161,43.258031698221245,2,Barton Library,6272,25027,69297,-2,1,-79.84121898138898,43.258031699450754
-79.80342947186972,43.121704377645443,3,Binbrook Library,3192,18858,46545,-1,10,-79.80342947213485,43.12170437851469
-79.981086210694258,43.396053385003249,4,Carlisle Library,2491,18434,45113,-1,10,-79.98108621096793,43.39605338581425
-79.851368251374154,43.241041597997139,5,Concession Library,8380,47689,173618,-3,2,-79.85136825154244,43.24104159881205
-79.954948711901181,43.265483890919867,6,Dundas Library,13712,86203,280443,-3,2,-79.95494871167945,43.265483892235544
-79.870699715424664,43.258941559592031,7,Hamilton Central Library,146131,146131,830909,-5,5,-79.87069971576268,43.25894156065867
-79.808841629044835,43.243498235958455,8,Kenilworth Library,8000,46702,145651,-3,2,-79.80884162931072,43.24349823716794
-79.887022038150107,43.251822853106923,9,Locke Library,1451,23853,92902,-2,1,-79.88702203808717,43.25182285401401
-79.912062199569064,43.160579870093059,10,Mount Hope Library,2230,15457,31195,-1,10,-79.91206219950452,43.16057987078495
-79.771944719483329,43.230282113187002,11,Red Hill Library,11760,61550,236902,-3,2,-79.77194471914495,43.23028211377719
-79.74507509271767,43.222292448223229,12,Saltfleet Library,15481,70643,252049,-3,2,-79.74507509332878,43.22229244917222
-79.828617685596058,43.226569127668391,13,Sherwood Library,20400,74754,333168,-3,2,-79.82861768595231,43.22656912838139
-79.886749082334191,43.230314278735399,14,Terryberry Library,30000,121339,590659,-4,5,-79.88674908217796,43.23031428003548
-79.79790001203321,43.193095939312464,15,Valley Park Library,3100,23668,94484,-2,1,-79.79790001210846,43.19309594019813
-79.904798193877582,43.323629398581296,16,Waterdown Library,3410,31253,143223,-2,2,-79.90479819381896,43.32362939957626
-79.903476765509453,43.262568620725752,17,Westdale Library,9950,56499,274285,-3,2,-79.903476765601,43.262568621520266
-79.691405296378534,43.212864345678355,18,Stoney Creek Library,6404,32989,87659,-2,2,-79.69140529595892,43.21286434677112
-79.878627860731498,43.198467045820408,19,Turner Park Library,23918,58400,0,,0,-79.87862786114596,43.198467046768194
-80.146595370182069,43.236560204366015,20,Lynden Library,4000,0,0,,0,-80.14659537003942,43.23656020527914
-80.038766453408755,43.397933407699433,21,Freelton Library,,0,0,,0,-80.03876645367953,43.397933408491
-79.996124692363722,43.275280269501231,22,Greensville Library,,0,0,,0,-79.99612469234015,43.27528027034178
